Level,Dataset,Field,Datatype,Sample,Frequency,BQ Space (bytes)
Trip,TripFile,StartTimeZone,String,-0700,1.0,7
Trip,TripFile,EndTimeZone,String,-0700,1.0,7
Trip,TripFile,EndTime,Timestamp,802.8447301387787,1.0,8
Trip,TripFile,TripID,String,123456789abcdef123456789abcdef12,1.0,34
Trip,TripFile,CompanyID,String,123abc12-1234-567a-123b-123abc12,1.0,34
Trip,TripFile,DriverID,String,abcd1234-012a-345b-678c-901234abcdef,1.0,38
Trip,TripFile,StartTime,Float,0.0,1.0,8
Trip,TripFile,DataAlgorithmVersion,String,0.12.3-4.56.7.890a1,1.0,21
Points,Accelerometer,TimeStamp,Timestamp,-0.44190001487731934,10.0,8
Points,Accelerometer,x,Float,-0.0068359375,10.0,8
Points,Accelerometer,y,Float,-0.408203125,10.0,8
Points,Accelerometer,z,Float,-0.5458984375,10.0,8
Points,GPSData,GPSAltitude,Int,516.0,1.0,8
Points,GPSData,GPSHeading,Int,266.0,1.0,8
Points,GPSData,GPSLatitude,Float,0.0,1.0,8
Points,GPSData,GPSLongitude,Float,0.0,1.0,8
Points,GPSData,GPSSpeed,Float,11.8369140625,1.0,8
Points,GPSData,HorizontalAccuracy,Int,8.0,1.0,8
Points,GPSData,TimeStamp,Timestamp,0.0,1.0,8
Points,GPSData,VerticalAccuracy,Int,3.0,1.0,8
Points,MagnetometerData,TimeStamp,Timestamp,-0.2900400161743164,10.0,8
Points,MagnetometerData,mx,Float,-6.3251953125,10.0,8
Points,MagnetometerData,my,Float,-68.5244140625,10.0,8
Points,MagnetometerData,mz,Float,-49.4501953125,10.0,8
Points,QuaternionData,TimeStamp,Timestamp,-0.44190001487731934,10.0,8
Points,QuaternionData,qw,Float,0.98577880859375,10.0,8
Points,QuaternionData,qx,Float,-0.0114288330078125,10.0,8
Points,QuaternionData,qy,Float,-0.1676025390625,10.0,8
Points,QuaternionData,qz,Float,-0.001922607421875,10.0,8
